age,breed,centreLocation,gender,hasPhoto,hasVideo,icon_childFriendly,icon_crossBreed,icon_dogFriendly,icon_gentleGiant,icon_hasBasicHousetraining,icon_hasMedicalNeeds,icon_livewire,icon_livingOffsite,icon_lovesCuddles,icon_lovesToysGames,icon_needsTraining,icon_smallButSparky,icon_strangerFriendly,icon_veryClever,icon_willWorkForFood,icon_youngAtHeart,isNewDog,name,numberOfPhotos,reserved
 '2 to 5 Years', 'A Crossbreed ', 'Salisbury', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Chequers', 5, true
 '5 to 7 Years', 'A Crossbreed ', 'Leeds', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,Living off site,,,,,,,,, true, 'Dave', 2, false
 '2 to 5 Years', 'A Crossbreed ', 'Kenilworth', 'Female', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,,,,,Needs some training,,,,,, false, 'Cassie', 5, true
 '2 to 5 Years', 'Patterdale Terrier', 'Glasgow', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,,,Loves treats/will work for food,, false, 'Benji', 5, false
 '1 to 2 Years', 'Greyhound  ', 'Merseyside', 'Female', true, false,,,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,,, true, 'Cassie', 4, false
 '8+ Years', 'Border Collie ', 'Merseyside', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,Bright spark/very clever,,, true, 'Cassie', 2, true
 '2 to 5 Years', 'Bulldog: French', 'Basildon', 'Female', true, false,,Crossbreed,,,Has basic housetraining,,,,,,Needs some training,Small but sparky,,,Loves treats/will work for food,, false, 'Coco Chanel', 5, true
 '8+ Years', 'Chihuahua: Short Hr', 'Basildon', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,,,Small but sparky,,,Loves treats/will work for food,Young at heart, true, 'Coco', 5, false
 '8+ Years', 'Mastiff: Old English  ', 'Bridgend', 'Male', true, false,,Crossbreed,,,,,,,Especially likes cuddles,Loves toys/games,,,,,Loves treats/will work for food,, false, 'Custard', 4, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Glasgow', 'Female', true, true,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Callie', 5, false
 '2 to 5 Years', 'A Crossbreed ', 'Manchester', 'Male', true, false,,Crossbreed,,,,,,,,,,,,,Loves treats/will work for food,, true, 'Caesar', 2, true
 '5 to 7 Years', 'Lurcher ', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Caddy', 3, false
 '5 to 7 Years', 'Lurcher ', 'Kenilworth', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Dash', 5, true
 '2 to 5 Years', 'Collie Cross (Border)', 'Snetterton', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Dash', 1, false
 '5 to 7 Years', 'Lab Cross', 'Canterbury', 'Male', true, false,,Crossbreed,,,,,,,Especially likes cuddles,Loves toys/games,Needs some training,,,,Loves treats/will work for food,Young at heart, true, 'Daniel', 3, false
 '5 to 7 Years', 'Lurcher ', 'Merseyside', 'Female', true, true,,Crossbreed,,Gentle giant,Has basic housetraining,,Live wire,,Especially likes cuddles,,Needs some training,,,Bright spark/very clever,,, false, 'Dana', 4, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Shrewsbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, true, 'Chip', 5, false
 '2 to 5 Years', 'Spaniel Cross', 'Newbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,Especially likes cuddles,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Dan', 5, true
 '1 to 2 Years', 'Bulldog: English', 'Salisbury', 'Male', true, false,,,,,,,,,,,Needs some training,,,,,, false, 'Deacon', 2, false
 '8+ Years', 'Rottweiler ', 'Kenilworth', 'Female', true, false,Child friendly (under 12 yrs),,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Damson', 5, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'West Calder', 'Female', true, false,,Crossbreed,Dog friendly,,,,,Living off site,,,Needs some training,,Stranger friendly,Bright spark/very clever,,, true, 'Chelsea', 1, false
 '2 to 5 Years', 'A Crossbreed ', 'London (Harefield)', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Chase', 5, false
 '5 to 7 Years', 'Lab Cross', 'London (Harefield)', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Benji', 4, false
 '5 to 7 Years', 'Lurcher ', 'Loughborough', 'Male', true, true,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Chase', 5, false
 '1 to 2 Years', 'Border Collie ', 'Newbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Charlie', 5, false
 '8+ Years', 'Pointer: German Wire Hr  ', 'Loughborough', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,Especially likes cuddles,,,,,,,, false, 'Cornflake', 4, false
 '2 to 5 Years', 'Harrier', 'Basildon', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Copper', 5, true
 '2 to 5 Years', 'A Crossbreed ', 'Shoreham', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Cooper', 5, false
 '2 to 5 Years', 'Harrier', 'Kenilworth', 'Male', true, false,,,Dog friendly,,,,,,,,Needs some training,,,,,, false, 'Cooper', 5, false
 '2 to 5 Years', 'Lab Cross', 'Newbury', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Cookie', 3, true
 '2 to 5 Years', 'Lurcher ', 'Shrewsbury', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,,, true, 'Connor', 5, false
 '1 to 2 Years', 'Border Collie ', 'Newbury', 'Female', false, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Cody', 0, false
 '5 to 7 Years', 'Rottweiler ', 'Evesham', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Dan', 3, false
 '5 to 7 Years', 'Border Collie ', 'Kenilworth', 'Male', true, true,,,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Charlie', 5, false
 '5 to 7 Years', 'Beagle  ', 'Kenilworth', 'Male', true, false,,,,,Has basic housetraining,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Charlie', 5, false
 '1 to 2 Years', 'Lab Cross', 'Merseyside', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,,,,Stranger friendly,Bright spark/very clever,,, true, 'Dave', 2, true
 '8+ Years', 'Greyhound  ', 'Kenilworth', 'Male', true, true,,,,,Has basic housetraining,,,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Charlie', 5, false
 '6 to 12 Months', 'Lab Cross', 'Basildon', 'Male', false, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, true, 'Casper', 0, true
 '8+ Years', 'Staffordshire Cross (SBT)', 'Shrewsbury', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Casper', 1, false
 '2 to 5 Years', 'Greyhound  ', 'London (Harefield)', 'Male', true, false,,,Dog friendly,Gentle giant,,,,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Casino', 4, false
 '2 to 5 Years', 'A Crossbreed ', 'Manchester', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,,,Stranger friendly,,,, false, 'Charlie', 5, false
 '2 to 5 Years', 'Lab Cross', 'Evesham', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Carter', 5, false
 '2 to 5 Years', 'Jack Russell Terrier (JRT)', 'Basildon', 'Male', true, false,,Crossbreed,,,,,Live wire,,,,Needs some training,Small but sparky,,,Loves treats/will work for food,, true, 'Carter', 5, false
 '5 to 7 Years', 'Cocker Spaniel', 'West Calder', 'Female', true, false,,,,,Has basic housetraining,,Live wire,,,,,,,,Loves treats/will work for food,, false, 'Carly', 2, false
 '5 to 7 Years', 'Staffordshire Cross (SBT)', 'Kenilworth', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,Has basic housetraining,,,,,,,,,,Loves treats/will work for food,, true, 'Callie', 5, false
 '2 to 5 Years', 'Jack Russell Terrier (JRT)', 'Ilfracombe', 'Male', true, true,,Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,,,Small but sparky,Stranger friendly,,,, false, 'Cadbury', 4, false
 '6 to 12 Months', 'Staffordshire Cross (SBT)', 'Shrewsbury', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,,, true, 'Coco', 5, false
 '8+ Years', 'Dobermann  ', 'Loughborough', 'Female', true, false,,Crossbreed,Dog friendly,Gentle giant,,,,,,,,,,,,Young at heart, false, 'Coco', 3, false
 '8+ Years', 'Bearded Collie', 'West Calder', 'Female', true, true,,,,,Has basic housetraining,,Live wire,,,Loves toys/games,,,Stranger friendly,Bright spark/very clever,,, false, 'Coco', 5, false
 '8+ Years', 'Jack Russell Terrier (JRT)', 'London (Harefield)', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Coca', 5, false
 '5 to 7 Years', 'Lurcher ', 'Kenilworth', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Connie', 5, false
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'Shoreham', 'Female', true, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Cleo', 4, true
 '2 to 5 Years', 'Lurcher ', 'Newbury', 'Male', true, true,,,,,,,Live wire,Living off site,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Chutney', 5, false
 '2 to 5 Years', 'Pug ', 'Leeds', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,Has basic housetraining,,,,,,,Small but sparky,,,Loves treats/will work for food,, true, 'Chumley', 4, false
 '2 to 5 Years', 'A Crossbreed ', 'Shrewsbury', 'Female', true, false,,Crossbreed,,,,,,,,,,,,,,, true, 'Casey', 3, false
 '1 to 2 Years', 'Staffordshire Bull Terrier (SBT)', 'Merseyside', 'Female', true, false,,,,,,,,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Cabbage', 3, true
 '2 to 5 Years', 'A Crossbreed ', 'Kenilworth', 'Male', true, true,,Crossbreed,,,,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Butch', 4, false
 '8+ Years', 'Parson Russell Terrier', 'Ballymena (N.Ireland)', 'Male', true, false,,,Dog friendly,,Has basic housetraining,,,,Especially likes cuddles,Loves toys/games,,Small but sparky,Stranger friendly,,,, false, 'Buster', 1, false
 '1 to 2 Years', 'Staffordshire Bull Terrier (SBT)', 'Leeds', 'Male', false, false,,,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,,,, true, 'Buster', 0, false
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'West Calder', 'Female', true, true,,Crossbreed,,,Has basic housetraining,,,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Callie', 4, false
 '8+ Years', 'Border Collie ', 'Merseyside', 'Male', true, false,Child friendly (under 12 yrs),,,,Has basic housetraining,,Live wire,,,Loves toys/games,,,Stranger friendly,,,, true, 'Buster', 3, true
 '8+ Years', 'Jack Russell Terrier (JRT)', 'Basildon', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,,,Stranger friendly,,,Young at heart, false, 'Buster', 5, true
 '6 to 12 Months', 'Border Collie ', 'Loughborough', 'Male', true, false,,,Dog friendly,,,,,,,,Needs some training,,,,,, true, 'Burrito', 5, false
 '1 to 2 Years', 'Dachshund: Std Smooth Hr ', 'Canterbury', 'Female', false, false,,,,,,,,,,,Needs some training,Small but sparky,,,,, false, 'Bunny', 0, false
 '2 to 5 Years', 'Lab Cross', 'Kenilworth', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Bumble', 5, true
 '5 to 7 Years', 'Shar-Pei  ', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),,Dog friendly,,,Medical needs,,,,Loves toys/games,,,,,,, true, 'Bugsy', 5, true
 '5 to 7 Years', 'A Crossbreed ', 'London (Harefield)', 'Male', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, false, 'Budweiser', 3, false
 '5 to 7 Years', 'Greyhound  ', 'Shoreham', 'Female', true, true,,,Dog friendly,,,,,,,Loves toys/games,,,,,Loves treats/will work for food,, false, 'Cici', 4, true
 '5 to 7 Years', 'A Crossbreed ', 'Shrewsbury', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,,,Has basic housetraining,,,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, false, 'Daisy', 5, false
 '5 to 7 Years', 'Lurcher ', 'London (Harefield)', 'Female', false, false,,,Dog friendly,,,,,,Especially likes cuddles,,Needs some training,,Stranger friendly,,,Young at heart, true, 'Daisy', 0, false
 '5 to 7 Years', 'Weimaraner', 'Loughborough', 'Female', true, false,,,Dog friendly,,Has basic housetraining,,,Living off site,,,,,,,,, true, 'Daisy', 2, false
 '2 to 5 Years', 'A Crossbreed ', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Bubba', 5, true
 '8+ Years', 'Staffordshire Cross (SBT)', 'Bridgend', 'Male', true, false,,Crossbreed,,,,,,,,,,,,,Loves treats/will work for food,Young at heart, true, 'Bullseye', 1, false
 '8+ Years', 'Border Collie ', 'Merseyside', 'Female', true, false,,,Dog friendly,,Has basic housetraining,,,,,,,,Stranger friendly,,,Young at heart, false, 'Cleo', 4, false
 '2 to 5 Years', 'Greyhound  ', 'Shoreham', 'Male', true, false,,,Dog friendly,Gentle giant,Has basic housetraining,,,,,,,,,,,, false, 'Dazzle', 4, false
 '2 to 5 Years', 'Pug ', 'Kenilworth', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,,, false, 'Damson', 5, false
 '8+ Years', 'Patterdale Terrier', 'Snetterton', 'Female', true, false,,Crossbreed,,,,,Live wire,,,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Daisy P', 5, false
 '5 to 7 Years', 'Terrier Cross', 'Kenilworth', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,,,Loves treats/will work for food,, false, 'Bruno', 5, false
 '2 to 5 Years', 'Labrador', 'Salisbury', 'Male', true, false,,,Dog friendly,,,,,,,,,,Stranger friendly,,,, false, 'Bruno', 1, false
 '8+ Years', 'A Crossbreed ', 'Shrewsbury', 'Male', true, false,,Crossbreed,,,,,,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,,, false, 'Bruce', 2, false
 '5 to 7 Years', 'Dachshund: Min Long Hr', 'Basildon', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,,,,,,Small but sparky,,,Loves treats/will work for food,, false, 'Brandy', 5, false
 '8+ Years', 'A Crossbreed ', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,,,Has basic housetraining,,,Living off site,,Loves toys/games,,Small but sparky,,,,, false, 'Charlie', 5, false
 '2 to 5 Years', 'Terrier Cross', 'Darlington', 'Male', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,Small but sparky,,,,, false, 'Charlie', 5, false
 '5 to 7 Years', 'A Crossbreed ', 'Salisbury', 'Female', true, false,,Crossbreed,,,,,,,,,,,Stranger friendly,,,, true, 'Charlie', 1, false
 '2 to 5 Years', 'Lurcher ', 'Canterbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Bryn', 5, false
 '2 to 5 Years', 'Collie Cross (Border)', 'London (Harefield)', 'Female', true, false,,Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Cilla', 5, false
 '8+ Years', 'Terrier: Yorkshire ', 'Merseyside', 'Male', true, false,,,Dog friendly,,Has basic housetraining,,,Living off site,Especially likes cuddles,,,Small but sparky,Stranger friendly,,,Young at heart, true, 'Chardonnay', 2, false
 '6 to 12 Months', 'Staffordshire Cross (SBT)', 'Shrewsbury', 'Female', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,,, true, 'Chanel', 5, false
 '2 to 5 Years', 'Labrador', 'Kenilworth', 'Male', true, false,,,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Chase', 5, false
 '2 to 5 Years', 'Lab Cross', 'Evesham', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Cedric', 1, true
 '2 to 5 Years', 'Harrier', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Buddy', 4, false
 '1 to 2 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Manchester', 'Male', true, false,,,,,,,,,,,,,,,Loves treats/will work for food,, true, 'Buddy', 3, true
 '2 to 5 Years', 'Dogue De Bordeaux', 'Evesham', 'Male', true, false,,,,Gentle giant,Has basic housetraining,,,,Especially likes cuddles,,,,,,,, false, 'Bruno', 5, false
 '2 to 5 Years', 'A Crossbreed ', 'Shoreham', 'Male', true, true,,Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Buddy', 5, false
